Satellite/Slot,SLOT01,SLOT02,SLOT03,SLOT04,SLOT05
SAT01,112.0378124463,114.7378124463,119.1649482997,119.2415647674,114.6587854157
SAT02,114.8373477241,112.1373477241,115.5649563253,118.5421009935,118.2587811057
SAT03,118.4373477241,115.7373477241,111.9649547602,114.9421035311,119.4592482068
SAT04,119.2378124463,119.3373477241,114.9644747579,112.0416574416,115.8592460424
SAT05,115.6378124463,118.3378124464,118.5644608519,115.6416296090,112.2592524903
